,Action,value,Genotype,Age,Cage,Sex,timepoint
"(4311407, 'Male', '8 weeks', 'distance (mm)')",Distance,10452.36877,Rbmb6 HD:WT,8 weeks,4311407,Male,day_one
"(4311417, 'Female', '13 weeks', 'Climbing')",Climbing,10.896,Rbmb6 HD:WT,13 weeks,4311417,Female,day_one
"(4311417, 'Female', '13 weeks', 'distance (mm)')",Distance,761.2212936,Rbmb6 HD:WT,13 weeks,4311417,Female,day_one
"(4311417, 'Female', '15-16 weeks', 'Climbing')",Climbing,21.168,Rbmb6 HD:WT,15-16 weeks,4311417,Female,day_one
"(4311417, 'Female', '15-16 weeks', 'distance (mm)')",Distance,3737.037772,Rbmb6 HD:WT,15-16 weeks,4311417,Female,day_one
"(4311417, 'Female', '8 weeks', 'Climbing')",Climbing,36.528,Rbmb6 HD:WT,8 weeks,4311417,Female,day_one
"(4311417, 'Female', '8 weeks', 'distance (mm)')",Distance,4593.325448,Rbmb6 HD:WT,8 weeks,4311417,Female,day_one
"(4314309, 'Male', '8 weeks', 'Climbing')",Climbing,9.648,Rbmb6 HD:Het,8 weeks,4314309,Male,day_one
"(4314309, 'Male', '8 weeks', 'distance (mm)')",Distance,4609.763965,Rbmb6 HD:Het,8 weeks,4314309,Male,day_one
"(4314315, 'Female', '8 weeks', 'Climbing')",Climbing,143.592,Rbmb6 HD:WT,8 weeks,4314315,Female,day_one
"(4314315, 'Female', '8 weeks', 'distance (mm)')",Distance,3580.303409,Rbmb6 HD:WT,8 weeks,4314315,Female,day_one
"(4314316, 'Female', '8 weeks', 'Climbing')",Climbing,94.896,Rbmb6 HD:Het,8 weeks,4314316,Female,day_one
"(4314316, 'Female', '8 weeks', 'distance (mm)')",Distance,4658.4203,Rbmb6 HD:Het,8 weeks,4314316,Female,day_one
"(4366282, 'Male', '13 weeks', 'Climbing')",Climbing,14.976,Rbmb6 HD:WT,13 weeks,4366282,Male,day_one
"(4366282, 'Male', '13 weeks', 'distance (mm)')",Distance,6936.52789,Rbmb6 HD:WT,13 weeks,4366282,Male,day_one
"(4366282, 'Male', '15-16 weeks', 'Climbing')",Climbing,25.104,Rbmb6 HD:WT,15-16 weeks,4366282,Male,day_one
"(4366282, 'Male', '15-16 weeks', 'distance (mm)')",Distance,14654.90249,Rbmb6 HD:WT,15-16 weeks,4366282,Male,day_one
"(4366282, 'Male', '8 weeks', 'Climbing')",Climbing,14.4,Rbmb6 HD:WT,8 weeks,4366282,Male,day_one
"(4366282, 'Male', '8 weeks', 'distance (mm)')",Distance,5829.212759,Rbmb6 HD:WT,8 weeks,4366282,Male,day_one
"(4366286, 'Male', '13 weeks', 'Climbing')",Climbing,30.288,Rbmb6 HD:Het,13 weeks,4366286,Male,day_one
"(4366286, 'Male', '13 weeks', 'distance (mm)')",Distance,3640.865778,Rbmb6 HD:Het,13 weeks,4366286,Male,day_one
"(4366286, 'Male', '15-16 weeks', 'Climbing')",Climbing,1.152,Rbmb6 HD:Het,15-16 weeks,4366286,Male,day_one
"(4366286, 'Male', '15-16 weeks', 'distance (mm)')",Distance,5460.549251,Rbmb6 HD:Het,15-16 weeks,4366286,Male,day_one
"(4366286, 'Male', '8 weeks', 'Climbing')",Climbing,31.808,Rbmb6 HD:Het,8 weeks,4366286,Male,day_one
"(4366286, 'Male', '8 weeks', 'distance (mm)')",Distance,3630.278207,Rbmb6 HD:Het,8 weeks,4366286,Male,day_one
"(4192216, 'Male', '13 weeks', 'Climbing')",Climbing,230.432,Rbmb6 HD:WT,13 weeks,4192216,Male,day_two
"(4192216, 'Male', '13 weeks', 'distance (mm)')",Distance,8890.465271,Rbmb6 HD:WT,13 weeks,4192216,Male,day_two
"(4192216, 'Male', '15-16 weeks', 'Climbing')",Climbing,98.64,Rbmb6 HD:WT,15-16 weeks,4192216,Male,day_two
"(4192216, 'Male', '15-16 weeks', 'distance (mm)')",Distance,10414.20234,Rbmb6 HD:WT,15-16 weeks,4192216,Male,day_two
"(4192216, 'Male', '8 weeks', 'Climbing')",Climbing,42.528,Rbmb6 HD:WT,8 weeks,4192216,Male,day_two
"(4192216, 'Male', '8 weeks', 'distance (mm)')",Distance,8842.4356,Rbmb6 HD:WT,8 weeks,4192216,Male,day_two
"(4200742, 'Male', '13 weeks', 'Climbing')",Climbing,34.888,Rbmb6 HD:Het,13 weeks,4200742,Male,day_two
"(4200742, 'Male', '13 weeks', 'distance (mm)')",Distance,12411.94814,Rbmb6 HD:Het,13 weeks,4200742,Male,day_two
"(4200742, 'Male', '8 weeks', 'Climbing')",Climbing,177.672,Rbmb6 HD:Het,8 weeks,4200742,Male,day_two
"(4200742, 'Male', '8 weeks', 'distance (mm)')",Distance,11959.35427,Rbmb6 HD:Het,8 weeks,4200742,Male,day_two
"(4247842, 'Female', '13 weeks', 'Climbing')",Climbing,129.6,Rbmb6 HD:Het,13 weeks,4247842,Female,day_two
"(4247842, 'Female', '13 weeks', 'distance (mm)')",Distance,5885.734961,Rbmb6 HD:Het,13 weeks,4247842,Female,day_two
"(4249098, 'Female', '13 weeks', 'Climbing')",Climbing,15.36,Rbmb6 HD:Het,13 weeks,4249098,Female,day_two
"(4249098, 'Female', '13 weeks', 'distance (mm)')",Distance,7812.909143,Rbmb6 HD:Het,13 weeks,4249098,Female,day_two
"(4249098, 'Female', '8 weeks', 'Climbing')",Climbing,84.184,Rbmb6 HD:Het,8 weeks,4249098,Female,day_two
"(4249098, 'Female', '8 weeks', 'distance (mm)')",Distance,12913.8066,Rbmb6 HD:Het,8 weeks,4249098,Female,day_two
"(4259251, 'Female', '13 weeks', 'Climbing')",Climbing,202.528,Rbmb6 HD:WT,13 weeks,4259251,Female,day_two
"(4259251, 'Female', '13 weeks', 'distance (mm)')",Distance,9389.515943,Rbmb6 HD:WT,13 weeks,4259251,Female,day_two
"(4259251, 'Female', '8 weeks', 'Climbing')",Climbing,114.816,Rbmb6 HD:WT,8 weeks,4259251,Female,day_two
"(4259251, 'Female', '8 weeks', 'distance (mm)')",Distance,10698.19845,Rbmb6 HD:WT,8 weeks,4259251,Female,day_two
"(4260354, 'Female', '13 weeks', 'Climbing')",Climbing,161.944,Rbmb6 HD:Het,13 weeks,4260354,Female,day_two
