,Action,value,Genotype,Age,Cage,Period,Sex,timepoint
"(4188123, 'Climbing', 'Light', '3 months')",Climbing,1.008,C57BL6/J,3 months,4188123,Light,Male,day_two
"(4188123, 'Climbing', 'Light', '7 months')",Climbing,3.464,C57BL6/J,7 months,4188123,Light,Male,day_two
"(4188123, 'distance (mm)', 'Dark', '12 months')",Distance,1779.530431,C57BL6/J,12 months,4188123,Dark,Male,day_two
"(4188123, 'distance (mm)', 'Dark', '3 months')",Distance,3007.353403,C57BL6/J,3 months,4188123,Dark,Male,day_two
"(4188123, 'distance (mm)', 'Dark', '7 months')",Distance,2785.351658,C57BL6/J,7 months,4188123,Dark,Male,day_two
"(4188123, 'distance (mm)', 'Light', '12 months')",Distance,1252.324144,C57BL6/J,12 months,4188123,Light,Male,day_two
"(4188123, 'distance (mm)', 'Light', '3 months')",Distance,1209.194629,C57BL6/J,3 months,4188123,Light,Male,day_two
"(4188123, 'distance (mm)', 'Light', '7 months')",Distance,1227.170214,C57BL6/J,7 months,4188123,Light,Male,day_two
"(4193912, 'Climbing', 'Dark', '12 months')",Climbing,15.504,C57BL6/J,12 months,4193912,Dark,Male,day_two
"(4193912, 'Climbing', 'Dark', '3 months')",Climbing,50.594,C57BL6/J,3 months,4193912,Dark,Male,day_two
"(4193912, 'Climbing', 'Dark', '7 months')",Climbing,7.733592233,C57BL6/J,7 months,4193912,Dark,Male,day_two
"(4193912, 'Climbing', 'Light', '12 months')",Climbing,4.948,C57BL6/J,12 months,4193912,Light,Male,day_two
"(4193912, 'Climbing', 'Light', '3 months')",Climbing,29.09833333,C57BL6/J,3 months,4193912,Light,Male,day_two
"(4193912, 'Climbing', 'Light', '7 months')",Climbing,0.759272727,C57BL6/J,7 months,4193912,Light,Male,day_two
"(4193912, 'distance (mm)', 'Dark', '12 months')",Distance,1465.192488,C57BL6/J,12 months,4193912,Dark,Male,day_two
"(4193912, 'distance (mm)', 'Dark', '3 months')",Distance,4055.674278,C57BL6/J,3 months,4193912,Dark,Male,day_two
"(4193912, 'distance (mm)', 'Dark', '7 months')",Distance,3546.54433,C57BL6/J,7 months,4193912,Dark,Male,day_two
"(4193912, 'distance (mm)', 'Light', '12 months')",Distance,1066.352871,C57BL6/J,12 months,4193912,Light,Male,day_two
"(4193912, 'distance (mm)', 'Light', '3 months')",Distance,846.5870333,C57BL6/J,3 months,4193912,Light,Male,day_two
