,Action,value,Genotype,Age,Cage,Sex,timepoint
"(4311407, 'Male', '13 weeks', 'Climbing')",Climbing,15.792,Rbmb6 HD:WT,13 weeks,4311407,Male,day_one
"(4311407, 'Male', '13 weeks', 'distance (mm)')",Distance,5551.027259,Rbmb6 HD:WT,13 weeks,4311407,Male,day_one
"(4311407, 'Male', '15-16 weeks', 'Climbing')",Climbing,37.968,Rbmb6 HD:WT,15-16 weeks,4311407,Male,day_one
"(4311407, 'Male', '15-16 weeks', 'distance (mm)')",Distance,8986.013135,Rbmb6 HD:WT,15-16 weeks,4311407,Male,day_one
"(4311407, 'Male', '8 weeks', 'Climbing')",Climbing,28.656,Rbmb6 HD:WT,8 weeks,4311407,Male,day_one
"(4311407, 'Male', '8 weeks', 'distance (mm)')",Distance,10451.57368,Rbmb6 HD:WT,8 weeks,4311407,Male,day_one
"(4311417, 'Female', '13 weeks', 'Climbing')",Climbing,183.6,Rbmb6 HD:WT,13 weeks,4311417,Female,day_one
"(4311417, 'Female', '13 weeks', 'distance (mm)')",Distance,6183.747327,Rbmb6 HD:WT,13 weeks,4311417,Female,day_one
"(4311417, 'Female', '15-16 weeks', 'Climbing')",Climbing,34.464,Rbmb6 HD:WT,15-16 weeks,4311417,Female,day_one
"(4311417, 'Female', '15-16 weeks', 'distance (mm)')",Distance,13836.04161,Rbmb6 HD:WT,15-16 weeks,4311417,Female,day_one
"(4311417, 'Female', '8 weeks', 'Climbing')",Climbing,78.192,Rbmb6 HD:WT,8 weeks,4311417,Female,day_one
"(4311417, 'Female', '8 weeks', 'distance (mm)')",Distance,10621.10039,Rbmb6 HD:WT,8 weeks,4311417,Female,day_one
"(4314309, 'Male', '8 weeks', 'Climbing')",Climbing,3.744,Rbmb6 HD:Het,8 weeks,4314309,Male,day_one
"(4314309, 'Male', '8 weeks', 'distance (mm)')",Distance,3541.027027,Rbmb6 HD:Het,8 weeks,4314309,Male,day_one
"(4314315, 'Female', '8 weeks', 'Climbing')",Climbing,68.976,Rbmb6 HD:WT,8 weeks,4314315,Female,day_one
"(4314315, 'Female', '8 weeks', 'distance (mm)')",Distance,4922.60553,Rbmb6 HD:WT,8 weeks,4314315,Female,day_one
"(4314316, 'Female', '8 weeks', 'Climbing')",Climbing,20.736,Rbmb6 HD:Het,8 weeks,4314316,Female,day_one
"(4314316, 'Female', '8 weeks', 'distance (mm)')",Distance,2596.700669,Rbmb6 HD:Het,8 weeks,4314316,Female,day_one
"(4366282, 'Male', '13 weeks', 'Climbing')",Climbing,25.968,Rbmb6 HD:WT,13 weeks,4366282,Male,day_one
"(4366282, 'Male', '13 weeks', 'distance (mm)')",Distance,9658.016303,Rbmb6 HD:WT,13 weeks,4366282,Male,day_one
